Date,City,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Weather Condition,Recommended Crop
2020-04-09,Kochi,15.5,34,0.0,26.4,Sunny,Lentils
2024-12-17,Indore,24.4,96,292.3,15.7,Hazy,Watermelon
2015-11-09,Coimbatore,36.8,29,0.0,9.0,Hazy,Watermelon
2017-05-28,Hyderabad,29.6,92,136.3,40.4,Cloudy,Jute
2015-02-03,Ahmedabad,14.8,43,186.0,42.0,Sunny,Pumpkin
2016-05-27,Hyderabad,10.8,90,60.1,24.1,Stormy,Cucumber
2021-07-06,Delhi,42.7,62,0.0,26.3,Rainy,Muskmelon
2024-09-12,Chandigarh,34.8,64,0.0,35.8,Stormy,Muskmelon
2018-06-01,Indore,35.1,47,0.0,40.0,Sunny,Bitter Gourd
2021-04-03,Ahmedabad,16.8,80,75.8,13.1,Drizzle,Muskmelon
2016-05-04,Jaipur,13.7,82,32.9,34.5,Sunny,Lentils
2024-01-24,Nagpur,39.4,47,84.0,6.8,Foggy,Cucumber
2015-05-07,Kolkata,10.1,51,0.0,30.2,Hazy,Mustard
2021-05-17,Lucknow,34.8,40,61.7,6.3,Cloudy,Bitter Gourd
2022-10-08,Nagpur,37.8,97,0.0,34.0,Rainy,Bitter Gourd
2022-06-17,Lucknow,20.0,86,0.0,38.0,Rainy,Bitter Gourd
2022-04-05,Mumbai,24.5,100,0.0,27.1,Foggy,Pumpkin
2017-09-20,Chandigarh,17.3,83,126.6,22.9,Stormy,Pumpkin
2018-10-28,Chandigarh,22.5,86,0.0,13.8,Foggy,Cucumber
2019-06-20,Hyderabad,42.0,73,0.0,47.7,Foggy,Cucumber
2020-02-13,Ahmedabad,21.3,60,0.0,42.3,Rainy,Bitter Gourd
2022-06-16,Kochi,34.9,69,0.0,20.5,Rainy,Cucumber
2016-04-12,Mumbai,32.9,35,0.0,49.4,Sunny,Watermelon
2023-03-25,Kolkata,25.3,45,0.0,47.4,Foggy,Watermelon
2024-06-27,Patna,39.7,66,202.5,9.8,Rainy,Rice
2020-05-08,Chennai,17.7,28,0.0,47.6,Hazy,Wheat
2024-09-30,Hyderabad,37.4,76,0.0,18.9,Rainy,Pumpkin
2024-06-15,Bhopal,38.5,94,0.0,38.1,Drizzle,Muskmelon
2016-06-27,Mumbai,26.7,43,0.0,49.3,Foggy,Watermelon
2023-11-23,Visakhapatnam,15.1,63,0.0,0.7,Stormy,Wheat
2021-11-03,Patna,34.1,74,0.0,2.3,Drizzle,Cucumber
2021-09-09,Kolkata,22.5,86,0.0,26.0,Foggy,Muskmelon
2018-11-10,Nagpur,38.8,23,213.4,22.0,Rainy,Groundnut
2017-12-29,Chennai,10.2,40,0.0,35.8,Sunny,Gram
2016-06-22,Lucknow,20.5,51,0.0,13.1,Hazy,Pumpkin
2022-08-17,Indore,15.5,34,177.4,28.1,Hazy,Bitter Gourd
2018-07-09,Hyderabad,34.0,54,0.0,18.7,Stormy,Bitter Gourd
2019-06-30,Chennai,25.1,93,173.2,43.5,Foggy,Jute
2020-01-07,Indore,22.5,65,0.0,10.3,Sunny,Pumpkin
2016-03-12,Chennai,11.8,70,0.0,30.4,Drizzle,Peas
2023-02-17,Jaipur,17.4,37,0.0,29.4,Sunny,Mustard
2021-10-24,Bangalore,33.7,82,0.0,22.4,Cloudy,Cucumber
2023-11-19,Visakhapatnam,23.3,79,0.0,31.9,Cloudy,Pumpkin
2018-03-10,Chandigarh,17.4,69,140.3,37.3,Hazy,Pumpkin
2016-08-22,Visakhapatnam,20.1,37,0.0,14.3,Rainy,Bitter Gourd
2018-12-17,Indore,30.9,35,0.0,49.9,Stormy,Muskmelon
2019-05-16,Coimbatore,20.9,91,0.0,45.2,Cloudy,Bitter Gourd
2019-05-17,Chandigarh,32.2,57,116.7,14.1,Cloudy,Pigeon Pea
2018-01-12,Visakhapatnam,16.2,90,269.7,20.0,Foggy,Bitter Gourd
2024-08-27,Ahmedabad,31.1,72,0.0,18.0,Stormy,Muskmelon
2020-07-02,Chandigarh,37.8,48,96.1,24.0,Rainy,Muskmelon
2016-03-30,Kolkata,41.4,76,208.3,2.4,Stormy,Soybean
2015-08-31,Mumbai,35.0,63,0.0,31.6,Rainy,Muskmelon
2021-02-24,Patna,23.0,82,0.0,13.3,Drizzle,Watermelon
2020-11-26,Kochi,41.6,41,0.0,9.7,Foggy,Muskmelon
2020-01-11,Hyderabad,27.6,70,0.0,41.4,Drizzle,Watermelon
